@relation scheduler_data
@attribute numTasks numeric
@attribute minBurst numeric
@attribute avgBurst numeric
@attribute maxBurst numeric
@attribute numCores numeric
@attribute timeQuantum numeric
@attribute bestScheduler {FCFS,RR,NPSJ,PSJ}
@data
15,1.0,2.04,30.0,3,9,NPSJ
15,10.0,23.41,26.0,4,11,NPSJ
10,4.0,33.67,38.0,3,8,NPSJ
6,10.0,16.50,49.0,3,11,PSJ
16,10.0,36.51,56.0,4,5,NPSJ
5,2.0,16.07,19.0,1,3,PSJ
19,9.0,14.22,42.0,4,6,NPSJ
12,6.0,35.33,36.0,3,12,NPSJ
12,2.0,4.03,35.0,4,5,NPSJ
16,3.0,29.58,46.0,2,5,PSJ
18,5.0,10.62,27.0,1,12,PSJ
11,6.0,13.12,28.0,4,8,FCFS
10,5.0,21.87,51.0,4,10,NPSJ
7,2.0,40.92,50.0,1,11,PSJ
12,8.0,30.03,57.0,4,5,NPSJ
9,10.0,25.94,45.0,2,5,NPSJ
17,7.0,47.28,52.0,1,8,NPSJ
19,1.0,26.08,34.0,2,5,PSJ
15,5.0,11.35,24.0,2,4,NPSJ
8,8.0,8.13,38.0,3,8,PSJ
19,10.0,12.01,51.0,3,10,NPSJ
6,8.0,37.31,42.0,1,12,NPSJ
9,9.0,23.01,53.0,3,5,PSJ
9,8.0,34.17,36.0,4,4,NPSJ
15,10.0,54.15,55.0,4,3,NPSJ
5,9.0,16.01,24.0,4,7,NPSJ
19,2.0,12.08,17.0,1,12,NPSJ
5,2.0,2.91,27.0,3,8,NPSJ
5,4.0,4.63,31.0,3,10,PSJ
17,7.0,30.15,37.0,2,12,NPSJ
14,10.0,11.00,58.0,1,5,PSJ
19,8.0,34.74,40.0,4,4,NPSJ
8,6.0,11.67,26.0,2,10,NPSJ
14,4.0,6.43,15.0,1,11,PSJ
9,1.0,10.80,15.0,1,5,PSJ
8,5.0,39.63,45.0,3,4,NPSJ
17,5.0,46.13,54.0,1,9,PSJ
11,7.0,41.70,49.0,1,7,NPSJ
15,3.0,21.23,23.0,2,12,NPSJ
16,6.0,11.01,43.0,2,8,PSJ
10,1.0,11.77,25.0,1,3,PSJ
17,9.0,33.66,45.0,1,10,PSJ
19,7.0,31.57,43.0,1,7,PSJ
16,1.0,1.97,27.0,2,9,PSJ
18,6.0,17.00,17.0,3,3,PSJ
19,4.0,7.26,53.0,1,12,PSJ
15,6.0,21.90,34.0,2,5,NPSJ
8,4.0,33.63,35.0,3,5,NPSJ
